,economically_inactive_student_including_full_time_students,objectid,all_categories_economic_activity,economically_active_employee_part_time,economically_active_employee_full_time,economically_active_self_employed,economically_active_unemployed,economically_active_full_time_student,economically_inactive_retired,cartodb_id,economically_inactive_looking_after_home_or_family,economically_inactive_long_term_sick_or_disabled,economically_inactive_other,unemployed_age_16_to_24,unemployed_age_50_to_74,unemployed_never_worked,long_term_unemployed,full_time_,part_time_,unemployed,retired_pc,lng,lat,the_geom,Local Authority Code,Local Authority Name,Region/Country Code,Region/Country Name,Supergroup Code,Supergroup Name,Group Code,Group Name,Subgroup Code,Subgroup Name
E00084381,10,170341,247,25,119,18,19,10,24,170341,14,7,1,5,2,1,8,48.1781376518219,10.1214574898785,7.692307692307691,9.7165991902834,-0.775004639,52.05564836,0106000020E6100000010000000103000000010000000E0000002389243EF4B1E8BF512B86DA13074A40A7B85357C7B8E8BF1C3F3E020D074A4075268D71ADC7E8BFB78F664E32074A40E54067AA83CCE8BF183AB0FC27074A40F9F411D880C7E8BFE52FA24507074A401924272D31BFE8BF575C101A01074A40A0C1D20FEFC7E8BF862910C3DD064A4022C537D096CFE8BF9E73E26FE8064A406E52D36803CCE8BF757251380D074A403000D8F2E1D4E8BF5EE0C3D703074A40462E764DB3DAE8BFC4B2044C2B074A40826A8E20A8DBE8BF408012B036074A40ACD400ABF6BEE8BF4A55637D5C074A402389243EF4B1E8BF512B86DA13074A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4c,Asian Traits,4c1,Achieving Minorities
E00175451,5,170742,134,18,71,15,4,4,5,170742,6,3,3,0,0,0,0,52.9850746268657,13.4328358208955,2.98507462686567,3.73134328358209,-0.6907924790000001,52.04612613,0106000020E61000000100000001030000000100000009000000EF36BC456E10E6BFBC7E49EB02064A4047217CD90F0DE6BF402C96A8DB054A40AB96F8FC1C1EE6BF475D1355BE054A40147A014D9321E6BF7B58FE85DF054A4076B9368C1029E6BF5D7FC41BE4054A401181F02B8C26E6BF0687AEA7EF054A40123D2FE81C20E6BF464FDB72F3054A404DC1A207DD1BE6BF1B691F5E0C064A40EF36BC456E10E6BFBC7E49EB02064A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families
E00084934,6,171582,208,19,122,10,15,4,10,171582,14,2,6,1,4,0,8,58.65384615384621,9.134615384615381,7.21153846153846,4.807692307692309,-0.7949774629999999,52.06480911,0106000020E61000000100000001030000000100000006000000A1EFD9898F66E9BF66E515B75E084A40E4AE8420F265E9BFFFED3B4F48084A402E8D8ADF7174E9BF98F20BF434084A406F5F300FF87AE9BFC87E4CBF35084A40B57142E9DF7DE9BF354373074F084A40A1EFD9898F66E9BF66E515B75E084A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5a,Urban Professionals and Families,5a3,Families in Terraces and Flats 
E00175422,22,171908,234,31,109,27,14,7,5,171908,9,5,5,4,4,2,6,46.5811965811966,13.247863247863199,5.98290598290598,2.13675213675214,-0.703948804,52.03684042,0106000020E6100000010000000103000000010000000C000000FB01AA65CE6FE6BF1858B765CC044A407477E7C77B7EE6BFFD4B4820BC044A4047DBCEA10C82E6BFB175D4709C044A4081A79CBB278DE6BFC708ECE496044A40D52F9F00C697E6BF33CB675EB6044A40E409FBCBFCA0E6BF379AC4BDAE044A40CE7AEC5609A4E6BF958E0789B6044A4026172EFB2A9CE6BFA2F3129DC3044A40B2E34534489DE6BF004F46AED5044A40E13914AE5393E6BF1940DFCFD8044A4082A216F60C73E6BF0D1E5461E8044A40FB01AA65CE6FE6BF1858B765CC044A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084626,5,172644,202,18,72,19,11,6,46,172644,9,11,5,5,4,0,4,35.6435643564356,8.91089108910891,5.44554455445545,22.772277227722803,-0.7511426059999999,52.06079161,0106000020E6100000010000000103000000010000000E0000007BE1E937B7E0E7BF640AD784A8074A404E1BD9BCE3ECE7BF77598400AB074A40961B9FAB37F6E7BF5DEF1E918F074A40190B3084B601E8BFC4289198AA074A40AADCAAD63E0BE8BFE4D17136C2074A407D910DBF3B13E8BFC372CF2C99074A4094F24D71A21DE8BFD31C4E79B2074A401C2DD8A5D619E8BF837FB3D4B8074A404BC1C05EC711E8BFFDD8AA09D7074A40D77755260905E8BF36349C6FE5074A400E49B01EBE14E8BF17096F1708084A4072CD66C937FBE7BF89E87B831E084A404AD98543B1F0E7BFD67FB21527084A407BE1E937B7E0E7BF640AD784A8074A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084859,8,172920,279,35,115,30,10,9,45,172920,18,8,1,2,2,0,5,41.2186379928315,12.544802867383499,3.5842293906809997,16.1290322580645,-0.8386707990000001,52.05388328,0106000020E6100000010000000103000000010000000B000000112EA00D6AC5EABF578ED20D0A074A404E1819DEF7B4EABF05833871E1064A40D52DA154E6C5EABF2CE30597BA064A40A4D936C09DCAEABFA3EAFDFECA064A403FDEF49885DCEABF6ED15BDFCC064A408EBE916365EAEABF090C9AF2E0064A40A1C9A314E4DFEABF4B8308DD00074A40AD4CF0CA3FE1EABF939CE95C0F074A40348230D04CD8EABFF4D6E1E00A074A400655A148F4CFEABF9BCAE2DBEC064A40112EA00D6AC5EABF578ED20D0A074A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084636,14,173599,436,47,233,51,9,16,29,173599,24,6,7,1,4,0,0,53.4403669724771,10.7798165137615,2.0642201834862397,6.651376146788991,-0.776090886,52.03143085,0106000020E6100000010000000103000000010000000F0000009C66329E3CF4E8BFECA75AE766044A40A9B2B0B0EEE0E8BF32351EF442044A4051B5709C3CD9E8BF33AE42A65D044A40D6B6E5B067AAE8BF5CEF5E00E2034A408C2973BBA3C5E8BF3ED0738098034A40218B483363CCE8BFB4742A08A1034A400D35461942C7E8BFB59317ABDC034A403B1EE2F796DEE8BFC615991BE4034A40A935CFA62CE3E8BF89A73BC5F8034A40B599D76BAFF3E8BF0F0C9C32F9034A4070F5C2534FF2E8BF26B3AAE247044A403A893C50C2EFE8BF1B48477659044A40B40068CCECF7E8BF2145571160044A4055232D0211FDE8BF4FFFD46285044A409C66329E3CF4E8BFECA75AE766044A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4c,Asian Traits,4c1,Achieving Minorities
E00084613,11,175871,240,33,99,15,14,10,29,175871,11,15,3,6,4,0,7,41.25,13.75,5.83333333333333,12.083333333333302,-0.751604468,52.05673596,0106000020E6100000010000000103000000010000000C0000004DE108406414E8BF635F67AC63074A4024B36AE5C914E8BF429E03F95A074A40BB491754AC12E8BFFF50D3A446074A40859910CBE809E8BFDC79202141074A40B64958D5E7FFE7BF2796D28162074A40A91C3D33FDF0E7BFB950E8DC52074A4058DBEE9B98F0E7BF847DF09435074A4064A23660A51DE8BF22EF680FF8064A4051C6DB79E61DE8BFAEBBC997FF064A408B1443DFE12DE8BFFE41E6BE7E074A4041D9B6C43017E8BF91846C958C074A404DE108406414E8BF635F67AC63074A40,E06000042,Milton Keynes,E12000008,South East,4,Multicultural Metropolitans,4a,Rented Family Living,4a1,Private Renting Young Families
E00084748,9,176606,276,32,111,49,4,7,48,176606,7,5,4,0,2,0,1,40.2173913043478,11.594202898550698,1.4492753623188401,17.3913043478261,-0.7041900640000001,52.15215786,0106000020E61000000100000001030000000100000013000000D1F300F28B8CE6BF838648B7B9134A400146B451EC83E6BF5D06E06CA9134A405014C792647BE6BFC5C52F1FA8134A40CB445CB21E83E6BF5393D9D87B134A40962D85832079E6BFACDB5A3275134A40B66A3289B07DE6BF8F91E9E150134A408F42C8C5C278E6BFD2AF7E9A4B134A408D64C6634983E6BFE746F17E2B134A40046D4F57E28DE6BF0FA221CE32134A40C2FC88C28592E6BFAB7840E025134A400EE503F18F88E6BF4D8314D858134A406E5BF9FFEC90E6BF841469306E134A400B38617FF38FE6BFA0FC780081134A40C9EC9CE6169AE6BF77B0CC5383134A40FB4575A97592E6BFB072259F97134A4025A224A76D98E6BF2FEC2722AA134A405589CDBAE696E6BFA5AACD47CF134A4009DB408B8397E6BF258058FAB9134A40D1F300F28B8CE6BF838648B7B9134A40,E06000042,Milton Keynes,E12000008,South East,5,Urbanites,5b,Ageing Urban Living,5b2,Communal Retirement
E00084721,6,178880,209,32,110,21,3,5,17,178880,6,9,0,2,0,2,0,52.6315789473684,15.311004784689,1.4354066985645901,8.13397129186603,-0.732038532,52.08049515,0106000020E61000000100000001030000000100000011000000E00F8C70CF6AE7BFB9F0C8676E0A4A40BB132BC87268E7BFE0673DFC620A4A401E0B30C7F358E7BFE9AE9CB8680A4A40178B8C7E005AE7BF7404ABFC5A0A4A40F0711C6BDD54E7BF5CA3B71C5D0A4A40318AED896754E7BF59E6B388520A4A40065551726767E7BF9922A8DA420A4A4079E924853164E7BF81065B572C0A4A40C2C6EA15B56BE7BF92576F28210A4A40B1620126076CE7BFC3303C26210A4A40A13E71EFB273E7BFB58DDBC3260A4A40FFE9DA41C07EE7BFECEDA510170A4A40A42338DA8EA0E7BF215D54F4380A4A4021C20B177E86E7BFBB05621B620A4A408AF43E693085E7BFCF32942F640A4A40331B67AB7580E7BFBD23C9DA4A0A4A40E00F8C70CF6AE7BFB9F0C8676E0A4A40,E06000042,Milton Keynes,E12000008,South East,8,Hard-Pressed Living,8a,Industrious Communities,8a1,Industrious Transitions
